_model	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens
monitor.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSnav			False	BOW	286	weight	lex	3-3	FOC	nav	220
monitor.nobound5-5all.PPMIno.LENGTH5000.SOCPOSall			False	BOW	814	no	all	5-5	5000	all	240
monitor.nobound5-5all.PPMIno.LENGTH5000.SOCPOSnav			False	BOW	814	no	all	5-5	5000	nav	240
monitor.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSall			False	BOW	814	no	all	5-5	FOC	all	240
monitor.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSnav			False	BOW	814	no	all	5-5	FOC	nav	240
monitor.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSall			False	BOW	566	selection	all	5-5	5000	all	240
monitor.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSnav			False	BOW	566	selection	all	5-5	5000	nav	240
monitor.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSall			False	BOW	566	selection	all	5-5	FOC	all	240
monitor.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSnav			False	BOW	566	selection	all	5-5	FOC	nav	240
monitor.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSall			False	BOW	566	weight	all	5-5	5000	all	240
monitor.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSnav			False	BOW	566	weight	all	5-5	5000	nav	240
monitor.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSall			False	BOW	566	weight	all	5-5	FOC	all	240
monitor.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSnav			False	BOW	566	weight	all	5-5	FOC	nav	240
monitor.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSall			False	BOW	590	no	lex	5-5	5000	all	240
monitor.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSnav			False	BOW	590	no	lex	5-5	5000	nav	240
monitor.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSall			False	BOW	590	no	lex	5-5	FOC	all	240
monitor.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSnav			False	BOW	590	no	lex	5-5	FOC	nav	240
monitor.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSall			False	BOW	410	selection	lex	5-5	5000	all	235
monitor.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSnav			False	BOW	410	selection	lex	5-5	5000	nav	235
monitor.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall			False	BOW	410	selection	lex	5-5	FOC	all	235
monitor.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSnav			False	BOW	410	selection	lex	5-5	FOC	nav	235
monitor.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSall			False	BOW	410	weight	lex	5-5	5000	all	235
monitor.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSnav			False	BOW	410	weight	lex	5-5	5000	nav	235
monitor.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSall			False	BOW	410	weight	lex	5-5	FOC	all	235
monitor.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSnav			False	BOW	410	weight	lex	5-5	FOC	nav	235
