_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
bevordering.bound10-10all.PPMIno.LENGTH5000.SOCPOSall	0.13867128742437848	-1.2524081222656511	NA	NA	TRUE	BOW	1036	no	all	10-10	5000	all	240	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIno.LENGTH5000.SOCPOSnav	0.05886002430316856	-1.292995282759348	NA	NA	TRUE	BOW	1036	no	all	10-10	5000	nav	240	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIno.LENGTHFOC.SOCPOSall	0.23422464300699944	-0.9339854917204412	NA	NA	TRUE	BOW	1036	no	all	10-10	FOC	all	240	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	0.19372841859139256	-0.9920025359069802	NA	NA	TRUE	BOW	1036	no	all	10-10	FOC	nav	240	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIselection.LENGTH5000.SOCPOSall	-0.07679072464953053	-0.6578926727187888	NA	NA	TRUE	BOW	528	selection	all	10-10	5000	all	234	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.1681118515874344	-0.7023668202655169	NA	NA	TRUE	BOW	528	selection	all	10-10	5000	nav	234	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSall	0.092199238880914	-0.4204505708502356	NA	NA	TRUE	BOW	528	selection	all	10-10	FOC	all	234	4	bevordering.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.04380931707578559	-0.4624066262636466	NA	NA	TRUE	BOW	528	selection	all	10-10	FOC	nav	234	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIweight.LENGTH5000.SOCPOSall	0.3084357405195015	-0.18445775385121077	NA	NA	TRUE	BOW	528	weight	all	10-10	5000	all	234	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIweight.LENGTH5000.SOCPOSnav	0.24487528515581403	-0.10716061710613216	NA	NA	TRUE	BOW	528	weight	all	10-10	5000	nav	234	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSall	0.32859335952510715	-0.10358017871507084	NA	NA	TRUE	BOW	528	weight	all	10-10	FOC	all	234	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.2930348988035523	-0.06721672907614078	NA	NA	TRUE	BOW	528	weight	all	10-10	FOC	nav	234	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIno.LENGTH5000.SOCPOSall	1.1928443117890228	-0.7661784298908221	NA	NA	TRUE	BOW	771	no	lex	10-10	5000	all	240	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIno.LENGTH5000.SOCPOSnav	1.2552692253677438	-0.7432648128702758	NA	NA	TRUE	BOW	771	no	lex	10-10	5000	nav	240	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
