cw	pmi_4	raw_4	pmi_10	raw_10	freq
Devolder/name	3.195964	1.0	2.979651	2	1139
Devriendt/name			2.6204505	1	816
Dewitte/name			2.7014399	1	758
Dewulf/name	3.0329587	2.0	2.123458	2	2767
Dick/name			0.061102923	1	10738
Dickinson/name			3.853691	1	235
Diego/name	2.1783195	1.0	1.2719182	1	3180
Dienst/name			1.5139395	3	7411
Dieter/name			0.39686117	1	7853
Diezie/name			6.7811446	1	13
Digital/name	3.3489728	1.0	2.436093	1	976
Dikkelvenne/name			2.4304538	1	991
Dilbeek/name			1.3077904	2	6277
Dill/name			4.31169	1	150
Dirk/name			-1.234455	1	39050
Display/name	6.426575	2.0	5.927581	3	90
Displays/name	6.4003487	1.0	5.5013223	1	47
Doe-je_zin/noun	9.533122	1.0	8.613726	1	2
Doel-kraker/name			9.306873	1	1
Doel/name			0.6854191	1	5695
Dokkum/name	3.9787095	1.0	3.0701122	1	520
Dom/name	3.140995	1.0	2.2289956	1	1201
Dominique/name	1.3087738	1.0	0.40113047	1	7551
Don/name			1.1413461	2	7181
Donck/name	4.398059	1.0	3.4860487	1	340
Dongen/name			2.0199625	1	1485
Donkvijvers/noun			8.208261	1	3
Doom/name			3.1964042	1	459
Dorien/name			3.0202236	1	549
Dorine/name	4.3576784	1.0	3.4492257	1	357
Dort/name			4.169899	1	173
Draaiboom/noun			7.920579	1	4
Drechttunnel/name			7.6974354	1	5
Drews/det	9.127657	1.0	8.208261	1	3
Driefonteinen/name			8.613726	1	2
Dries/name			0.64042413	1	5935
Drongen/name			2.1700518	2	2596
Drongendreef/name			6.715357	1	14
Duffel/name	1.734214	1.0	1.5330579	2	4959
Duimelot/name			5.4652724	1	47
Duits/adj	-1.3145077	1.0	-2.2202046	1	104339
Duitser/noun	0.68897456	2.0	-0.22263703	2	27916
Duitsland/name			-1.9150032	1	76234
