_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
monitor.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	-1.679914806194575	0.15025994439522225	NA	LEMMAREL3	NA	LEMMAREL	309	no	NA	NA	5000	nav	240	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	-1.0737115256472756	0.4006915737539716	NA	LEMMAREL3	NA	LEMMAREL	309	no	NA	NA	FOC	all	240	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	-1.0624561393895242	0.4596466527165511	NA	LEMMAREL3	NA	LEMMAREL	309	no	NA	NA	FOC	nav	240	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	-1.566190113625754	0.238378674471577	NA	LEMMAREL3	NA	LEMMAREL	243	selection	NA	NA	5000	all	236	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	-1.596093494057634	0.23507231212183208	NA	LEMMAREL3	NA	LEMMAREL	243	selection	NA	NA	5000	nav	236	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	-1.0297249647988755	0.457052143406556	NA	LEMMAREL3	NA	LEMMAREL	243	selection	NA	NA	FOC	all	236	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0042890474434274	0.4901886374073339	NA	LEMMAREL3	NA	LEMMAREL	243	selection	NA	NA	FOC	nav	236	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	-1.03171864658422	0.7657409636760056	NA	LEMMAREL3	NA	LEMMAREL	243	weight	NA	NA	5000	all	236	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	-1.0985933206510954	0.7726853457302715	NA	LEMMAREL3	NA	LEMMAREL	243	weight	NA	NA	5000	nav	236	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	-0.6970049079929763	0.9035601856256386	NA	LEMMAREL3	NA	LEMMAREL	243	weight	NA	NA	FOC	all	236	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6975643355656302	0.9470011723485232	NA	LEMMAREL3	NA	LEMMAREL	243	weight	NA	NA	FOC	nav	236	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.bound10-10all.PPMIno.LENGTH5000.SOCPOSall	-0.22255919282030803	-1.682554574128592	NA	NA	TRUE	BOW	1105	no	all	10-10	5000	all	240	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIno.LENGTH5000.SOCPOSnav	-0.31935727026882327	-1.5067944795106596	NA	NA	TRUE	BOW	1105	no	all	10-10	5000	nav	240	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIno.LENGTHFOC.SOCPOSall	0.15694359825889886	-1.203992141547949	NA	NA	TRUE	BOW	1105	no	all	10-10	FOC	all	240	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	0.08202770544661629	-1.0621972256385692	NA	NA	TRUE	BOW	1105	no	all	10-10	FOC	nav	240	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIselection.LENGTH5000.SOCPOSall	-0.3710105738174342	-1.1513336111005044	NA	NA	TRUE	BOW	623	selection	all	10-10	5000	all	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.4400485648358407	-1.1331163687601893	NA	NA	TRUE	BOW	623	selection	all	10-10	5000	nav	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSall	0.0663239284834325	-0.7050303812603613	NA	NA	TRUE	BOW	623	selection	all	10-10	FOC	all	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.05144544540322906	-0.6101904883090121	NA	NA	TRUE	BOW	623	selection	all	10-10	FOC	nav	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIweight.LENGTH5000.SOCPOSall	0.29842591314529904	-0.5062880080890277	NA	NA	TRUE	BOW	623	weight	all	10-10	5000	all	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIweight.LENGTH5000.SOCPOSnav	0.26384019878336906	-0.4757011856974241	NA	NA	TRUE	BOW	623	weight	all	10-10	5000	nav	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSall	0.4576410658107516	-0.27967551045899364	NA	NA	TRUE	BOW	623	weight	all	10-10	FOC	all	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.45005812118510213	-0.21421753407696648	NA	NA	TRUE	BOW	623	weight	all	10-10	FOC	nav	239	4	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10lex.PPMIno.LENGTH5000.SOCPOSall	1.6384482916043916	-0.9447654882220612	NA	NA	TRUE	BOW	809	no	lex	10-10	5000	all	240	5	monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall
monitor.bound10-10lex.PPMIno.LENGTH5000.SOCPOSnav	1.573814947102395	-0.8229970725481943	NA	NA	TRUE	BOW	809	no	lex	10-10	5000	nav	240	5	monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall
monitor.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	1.369877909840964	-0.6153196871115278	NA	NA	TRUE	BOW	809	no	lex	10-10	FOC	all	240	6	monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav	1.3636339676258322	-0.5669697534955732	NA	NA	TRUE	BOW	809	no	lex	10-10	FOC	nav	240	6	monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSall	1.2690693089102556	-0.459847979813202	NA	NA	TRUE	BOW	464	selection	lex	10-10	5000	all	237	5	monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall
monitor.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav	1.2731058980864522	-0.37768284636158195	NA	NA	TRUE	BOW	464	selection	lex	10-10	5000	nav	237	5	monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall
monitor.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	1.0873487264713722	-0.2459212742516708	NA	NA	TRUE	BOW	464	selection	lex	10-10	FOC	all	237	6	monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav	1.069609482816382	-0.19994489477680097	NA	NA	TRUE	BOW	464	selection	lex	10-10	FOC	nav	237	6	monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
monitor.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSall	1.1452589219500608	-0.13332574548416726	NA	NA	TRUE	BOW	464	weight	lex	10-10	5000	all	237	5	monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall
